Oct. 26, 2023   15:07:46
Cyclic Voltammetry
File: g:\my drive\rug shared\master project\experiment files\ff015\ff015cva.csv
Data Source:  Experiment
Instrument Model:  CHI600C
Header: 
Note: 

Init E (V) = -0.01
High E (V) = 1.2
Low E (V) = -2.4
Init P/N = N
Scan Rate (V/s) = 0.05
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A

-0.010, -9.816e-8
-0.011, -3.332e-8
-0.012, -1.032e-8
-0.013, -1.406e-9
-0.014, 3.189e-9
-0.015, 7.277e-9
-0.016, 1.083e-8
-0.017, 1.376e-8
-0.018, 1.715e-8
-0.019, 1.915e-8
-0.020, 2.138e-8
-0.021, 2.362e-8
-0.022, 2.505e-8
-0.023, 2.715e-8
-0.024, 2.996e-8
-0.025, 3.175e-8
-0.026, 3.313e-8
-0.027, 3.499e-8
-0.028, 3.620e-8
-0.029, 3.827e-8
-0.030, 3.957e-8
-0.031, 4.131e-8
-0.032, 4.208e-8
-0.033, 4.419e-8
-0.034, 4.595e-8
-0.035, 4.637e-8
-0.036, 4.741e-8
-0.037, 4.956e-8
-0.038, 5.049e-8
-0.039, 5.145e-8
-0.040, 5.336e-8
-0.041, 5.422e-8
-0.042, 5.548e-8
-0.043, 5.682e-8
-0.044, 5.682e-8
-0.045, 5.846e-8
-0.046, 6.021e-8
-0.047, 6.126e-8
-0.048, 6.157e-8
-0.049, 6.220e-8
-0.050, 6.365e-8
-0.051, 6.395e-8
-0.052, 6.457e-8
-0.053, 6.667e-8
-0.054, 6.684e-8
-0.055, 6.760e-8
-0.056, 6.936e-8
-0.057, 6.965e-8
-0.058, 7.038e-8
-0.059, 7.132e-8
-0.060, 7.202e-8
-0.061, 7.362e-8
-0.062, 7.426e-8
-0.063, 7.416e-8
-0.064, 7.459e-8
-0.065, 7.559e-8
-0.066, 7.691e-8
-0.067, 7.749e-8
-0.068, 7.797e-8
-0.069, 7.964e-8
-0.070, 7.923e-8
-0.071, 7.970e-8
-0.072, 8.127e-8
-0.073, 8.140e-8
-0.074, 8.189e-8
-0.075, 8.308e-8
-0.076, 8.321e-8
-0.077, 8.429e-8
-0.078, 8.495e-8
-0.079, 8.522e-8
-0.080, 8.477e-8
-0.081, 8.662e-8
-0.082, 8.710e-8
-0.083, 8.711e-8
-0.084, 8.740e-8
-0.085, 8.909e-8
-0.086, 8.926e-8
-0.087, 8.902e-8
-0.088, 9.084e-8
-0.089, 8.969e-8
-0.090, 8.989e-8
-0.091, 9.168e-8
-0.092, 9.194e-8
-0.093, 9.230e-8
-0.094, 9.337e-8
-0.095, 9.400e-8
-0.096, 9.311e-8
-0.097, 9.378e-8
-0.098, 9.543e-8
-0.099, 9.546e-8
-0.100, 9.506e-8
-0.101, 9.667e-8
-0.102, 9.588e-8
